637599745	Pipes	7	0	0
637599746	Pipes Stored Head	2	0	0
637599747	Pipe Weight	9071.84	0	38
637599748	Head Weight	18143.69	0	38
637599749	Pdmtr Force	68038.86	0	38
637599750	Pipes In Head	7	0	0
637599751	Tot Pipe Weight	90718.4	0	38
637599752	Head Pipe Weight	90718.4	0	38
637599753	Pd Force	68038.86	0	38
637599754	Hole Depth Count	250	0	38
637599755	Bit Position	250	0	0
637599756	Head Speed	1	0	39
637599757	Wifr	37.85	0	37
637599758	Relative Angle	99	0	4
637599759	Frdas	30	0	4
637599760	Mlras	30	0	4
637599761	Maas	95	60	4
637599762	Catt	250	-50	5
637599763	Cott	250	-50	5
637599764	Pptd	68900	0	9
637599765	Hptd	68900	0	9
637599766	Acpt	6890	0	9
637599767	Rsf	100	0	25
